空,2
を,1
見,1
上,1
げ,1
僕,2
ら,1
は,1
夢,2
見,1
た,1
あ,1
の,1
鳥,2
の,1
よ,1
う,1
な,1
翼,3
を,1
夏,2
の,1
陽,2
炎,2
が,1
君,2
を,1
消,1
し,1
た,1
あ,1
の,1
空,2
に,1
行,1
っ,1
て,1
し,1
ま,1
っ,1
た,1
の,0
？,1
残,2
さ,1
れ,1
た,1
手,1
紙,2
握,2
り,1
締,1
め,1
今,2
決,1
め,1
た,1
君,2
を,1
探,2
す,1
た,1
め,1
空,2
へ,1
飛,1
ぶ,1
ん,1
だ,1
作,2
り,1
か,1
け,1
の,1
翼,3
が,1
大,2
空,2
へ,1
と,1
羽,1
ば,1
た,1
く,1
時,2
き,1
っ,1
と,1
き,1
っ,1
と,1
叶,2
う,1
だ,1
ろ,1
う,1
僕,2
た,1
ち,1
が,1
描,2
い,1
た,1
夢,2
が,1
空,2
の,1
上,2
の,1
世,1
界,2
で,1
き,1
っ,1
と,1
君,2
は,1
待,1
っ,1
て,1
る,1
か,1
ら,1
無,1
限,2
の,1
夢,2
翼,3
に,1
乗,1
せ,1
い,1
つ,1
の,1
日,1
か,1
飛,1
ん,1
で,1
み,1
せ,1
る,1
難,3
し,1
い,1
本,2
片,2
手,1
に,1
作,2
る,1
こ,1
の,1
空,2
を,1
飛,1
べ,1
る,1
翼,3
を,1
雨,2
上,1
が,1
り,1
の,1
空,2
架,1
か,1
っ,1
た,1
虹,2
今,2
君,2
も,1
ど,1
こ,1
か,1
で,1
見,1
て,1
る,0
？,1
君,2
へ,1
の,1
思,2
い,1
を,1
握,2
り,1
締,1
め,1
さ,1
あ,1
時,2
は,1
満,1
ち,1
た,1
走,2
り,1
出,1
せ,1
翼,3
を,1
広,2
げ,1
小,2
さ,1
な,1
こ,1
の,1
翼,3
が,1
大,2
空,2
へ,1
と,1
今,2
羽,1
ば,1
た,1
く,1
高,2
い,1
高,2
い,1
こ,1
の,1
景,1
色,2
を,1
な,1
あ,1
君,2
も,1
見,1
て,1
い,1
た,1
ん,1
だ,1
ろ,0
？,1
空,2
の,1
上,2
の,1
世,1
界,2
へ,1
あ,1
と,1
少,2
し,1
で,1
辿,2
り,1
着,1
け,1
る,1
無,1
限,2
の,1
夢,2
翼,3
に,1
乗,1
せ,1
届,2
け,1
る,1
よ,1
こ,1
の,1
気,1
持,1
ち,1
を,1
荒,1
れ,1
狂,2
う,1
空,2
折,1
れ,1
た,1
翼,3
僕,2
は,1
空,2
を,1
飛,1
べ,1
な,1
い,1
の,0
？,1
霞,2
む,1
意,1
識,2
に,1
響,2
い,1
た,1
少,2
女,1
の,1
声,2
「,0
解,1
き,1
放,2
て,1
ム,1
ゲ,1
ン,1
ノ,1
ツ,1
バ,1
サ,0
」,1
天,2
使,1
の,1
よ,1
う,1
な,1
翼,3
が,1
光,3
纏,2
い,1
僕,2
を,1
包,2
む,1
青,2
い,1
青,2
い,1
空,2
の,1
下,2
で,1
ま,1
た,1
君,2
に,1
出,1
会,1
え,1
た,1
奇,1
跡,2
夢,2
を,1
乗,1
せ,1
た,1
翼,3
が,1
た,1
と,1
え,1
幻,4
だ,1
と,1
し,1
て,1
も,1
夢,1
幻,2
の,1
彼,1
方,2
の,1
世,1
界,2
へ,1
君,2
と,1
な,1
ら,1
飛,1
ん,1
で,1
行,1
け,1
る,1